Year,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races,Hispanic (of any other races or races)
2000,4933692,4353427,176223,52531,146237,1790,58183,145301
2002,5018935,4372702,196165,53269,167083,1884,68880,179719
2004,5087713,4379761,215459,53869,73637,910,2783,190294
2006,5163555,4389370,235886,54377,188124,1956,80918,212924
2008,5247018,4404774,257365,55198,203070,2024,90558,234029
2010,5310903,4411802,272570,55755,217008,2001,99950,251817
2012,5380443,4425835,290042,56914,235057,2147,106083,264365
2014,5457125,4442291,309108,58119,254951,2341,112596,277719
2015,5489594,4446535,317130,58603,264609,2433,116070,284214
